,market,funding_total_usd,region,city,funding_rounds,Founding_year,first_funding_year,last_funding_year,first_funding_gap,last_funding_gap,first_last_funding_gap,success
9578,309,3000000.0,140,319,2,2012.0,2012.0,2014,0.0,2.0,2.0,0
9589,219,8500000.0,17,99,2,0.0,2007.0,2009,0.0,0.0,2.0,1
9590,63,15000.0,131,486,1,2012.0,2007.0,2007,-5.0,-5.0,0.0,0
9597,257,500000.0,104,449,1,2011.0,2011.0,2011,0.0,0.0,0.0,0
9598,301,200000.0,131,530,1,2006.0,2007.0,2007,1.0,1.0,0.0,0
9612,47,12700000.0,144,275,1,0.0,2008.0,2008,0.0,0.0,0.0,1
9616,309,27250000.0,131,624,3,0.0,2006.0,2008,0.0,0.0,2.0,1
9619,115,3000000.0,11,38,1,2007.0,2009.0,2009,2.0,2.0,0.0,0
9637,309,3325000.0,135,434,4,2007.0,2010.0,2014,3.0,7.0,4.0,0
9645,309,500000.0,131,569,1,2009.0,2011.0,2011,2.0,2.0,0.0,1
9663,309,4795519.0,80,364,2,0.0,2010.0,2011,0.0,0.0,1.0,0
9676,1,5000000.0,138,656,3,2011.0,2010.0,2012,-1.0,1.0,2.0,1
9688,63,46400000.0,131,413,3,2003.0,2005.0,2009,2.0,6.0,4.0,0
9689,47,33048483.0,136,563,4,2008.0,2009.0,2012,1.0,4.0,3.0,1
9697,1,7000000.0,131,569,1,2005.0,2007.0,2007,2.0,2.0,0.0,1
9707,29,48350000.0,17,74,3,0.0,2010.0,2012,0.0,0.0,2.0,0
9711,148,5000000.0,91,406,1,0.0,2010.0,2010,0.0,0.0,0.0,1
9716,79,40600000.0,83,558,4,2011.0,2011.0,2014,0.0,3.0,3.0,0
9724,44,3000000.0,9,13,1,2005.0,2012.0,2012,7.0,7.0,0.0,1
9730,145,9000000.0,131,530,1,2000.0,2006.0,2006,6.0,6.0,0.0,1
9739,282,250000.0,131,398,1,2007.0,2007.0,2007,0.0,0.0,0.0,0
9744,174,992250.0,98,18,3,2011.0,2012.0,2013,1.0,2.0,1.0,1
9769,1,63500000.0,104,449,5,2000.0,2004.0,2011,4.0,11.0,7.0,0
9770,126,15000.0,101,439,1,2012.0,2012.0,2012,0.0,0.0,0.0,1
9777,309,1125000.0,115,402,1,2011.0,2012.0,2012,1.0,1.0,0.0,0
9799,261,485000.0,132,543,1,2012.0,2013.0,2013,1.0,1.0,0.0,0
9804,309,10000000.0,131,580,1,0.0,2012.0,2012,0.0,0.0,0.0,1
9817,286,8247532.0,9,34,5,2008.0,2009.0,2014,1.0,6.0,5.0,0
9819,109,0.0,79,362,1,2011.0,2012.0,2012,1.0,1.0,0.0,0
9822,29,26900333.0,93,380,3,2009.0,2013.0,2014,4.0,5.0,1.0,0
9842,236,5000000.0,79,583,2,2009.0,2009.0,2013,0.0,4.0,4.0,1
9869,154,75000.0,30,139,1,0.0,2011.0,2011,0.0,0.0,0.0,0
9871,154,0.0,104,449,1,2008.0,2008.0,2008,0.0,0.0,0.0,1
9889,249,28100000.0,131,569,3,2006.0,2007.0,2011,1.0,5.0,4.0,1
9906,8,71426633.0,38,359,4,2002.0,2006.0,2009,4.0,7.0,3.0,1
9911,190,4899605.0,131,569,3,2010.0,2012.0,2013,2.0,3.0,1.0,1
9914,309,4901574.0,17,386,3,0.0,2010.0,2012,0.0,0.0,2.0,1
9917,115,4100000.0,11,38,2,2010.0,2011.0,2012,1.0,2.0,1.0,1
9932,309,12700000.0,17,344,1,2000.0,2005.0,2005,5.0,5.0,0.0,1
9936,178,0.0,131,624,1,2007.0,2007.0,2007,0.0,0.0,0.0,0
9955,29,13432029.0,116,231,3,0.0,2010.0,2012,0.0,0.0,2.0,0
9968,8,91000000.0,131,573,2,1999.0,2006.0,2008,7.0,9.0,2.0,1
9970,309,6000000.0,140,593,2,2008.0,2009.0,2011,1.0,3.0,2.0,0
9972,115,2000000.0,79,362,1,1997.0,2009.0,2009,12.0,12.0,0.0,1
9975,146,5685000.0,131,624,2,0.0,2008.0,2010,0.0,0.0,2.0,0
9979,286,20404494.0,11,38,5,2007.0,2007.0,2012,0.0,5.0,5.0,1
9986,363,0.0,36,167,1,0.0,2011.0,2011,0.0,0.0,0.0,1
9987,29,1250000.0,38,90,1,0.0,2010.0,2010,0.0,0.0,0.0,1
10008,210,3000000.0,131,486,3,2008.0,2009.0,2012,1.0,4.0,3.0,1
10020,8,3370000.0,78,273,2,1997.0,2008.0,2010,11.0,13.0,2.0,1
10023,115,11400000.0,104,449,4,2006.0,2005.0,2012,-1.0,6.0,7.0,0
10039,370,0.0,131,486,1,2010.0,2011.0,2011,1.0,1.0,0.0,0
10041,146,60000.0,159,138,1,2009.0,2010.0,2010,1.0,1.0,0.0,0
10046,29,23000000.0,131,565,1,0.0,2007.0,2007,0.0,0.0,0.0,1
10050,144,162000000.0,131,624,2,2001.0,2005.0,2006,4.0,5.0,1.0,1
10056,146,10000006.0,131,570,1,0.0,2009.0,2009,0.0,0.0,0.0,1
10058,326,30000000.0,92,414,1,2012.0,2014.0,2014,2.0,2.0,0.0,0
10075,102,175000.0,92,328,1,2008.0,2009.0,2009,1.0,1.0,0.0,0
10080,309,36000000.0,131,624,4,2008.0,2008.0,2011,0.0,3.0,3.0,1
10082,301,1500000.0,131,569,1,2012.0,2012.0,2012,0.0,0.0,0.0,1
10086,341,1100000.0,131,569,1,2009.0,2009.0,2009,0.0,0.0,0.0,1
10092,309,2000000.0,131,468,1,2009.0,2009.0,2009,0.0,0.0,0.0,0
10101,286,9500000.0,104,449,1,2001.0,2005.0,2005,4.0,4.0,0.0,1
10142,69,16000000.0,137,567,2,2006.0,2007.0,2008,1.0,2.0,1.0,1
10156,120,1000000.0,11,38,1,2007.0,2009.0,2009,2.0,2.0,0.0,1
10157,234,22000000.0,131,569,1,2002.0,2008.0,2008,6.0,6.0,0.0,1
10176,294,5800000.0,140,593,1,2013.0,2013.0,2013,0.0,0.0,0.0,1
10177,232,29557587.0,140,593,8,2005.0,2005.0,2012,0.0,7.0,7.0,0
10188,47,27680000.0,104,449,2,2000.0,2007.0,2009,7.0,9.0,2.0,1
10208,79,9000000.0,79,489,2,2002.0,2008.0,2010,6.0,8.0,2.0,1
10213,210,6000000.0,17,99,2,2011.0,2011.0,2012,0.0,1.0,1.0,1
10250,264,0.0,79,583,1,2007.0,2008.0,2008,1.0,1.0,0.0,0
10252,90,2300000.0,131,569,2,2011.0,2011.0,2012,0.0,1.0,1.0,1
10261,286,7000000.0,36,1,2,2001.0,2007.0,2009,6.0,8.0,2.0,1
10265,309,1000000.0,55,311,2,2008.0,2009.0,2010,1.0,2.0,1.0,0
10270,79,58800000.0,104,449,1,2004.0,2010.0,2010,6.0,6.0,0.0,1
10293,29,146600003.0,131,610,4,2002.0,2010.0,2013,8.0,11.0,3.0,1
10294,363,24500000.0,131,624,3,2002.0,2006.0,2009,4.0,7.0,3.0,1
10307,63,11000000.0,59,595,2,2001.0,2007.0,2009,6.0,8.0,2.0,0
10354,309,0.0,131,569,1,2010.0,2010.0,2010,0.0,0.0,0.0,1
10358,309,25000.0,118,499,1,2008.0,2008.0,2008,0.0,0.0,0.0,0
10369,286,24500000.0,17,79,2,2000.0,2007.0,2008,7.0,8.0,1.0,1
10372,198,13020000.0,131,413,2,1995.0,2005.0,2009,10.0,14.0,4.0,1
10379,289,13205000.0,131,432,2,2003.0,2008.0,2010,5.0,7.0,2.0,1
10388,64,200000.0,104,449,2,2012.0,2013.0,2013,1.0,1.0,0.0,0
10392,299,6500000.0,131,569,1,2009.0,2011.0,2011,2.0,2.0,0.0,1
10399,301,1000000.0,131,361,1,0.0,2007.0,2007,0.0,0.0,0.0,0
10409,309,6000000.0,131,569,1,2007.0,2010.0,2010,3.0,3.0,0.0,1
10413,66,1300000.0,120,512,1,2009.0,2011.0,2011,2.0,2.0,0.0,1
10439,224,880000.0,101,439,3,2012.0,2011.0,2013,-1.0,1.0,2.0,0
10444,102,5126000.0,148,628,3,2009.0,2011.0,2012,2.0,3.0,1.0,1
10446,324,40000.0,92,263,1,2011.0,2011.0,2011,0.0,0.0,0.0,0
10468,312,0.0,131,624,1,2009.0,2009.0,2009,0.0,0.0,0.0,0
10482,336,1740000.0,131,569,4,2010.0,2010.0,2011,0.0,1.0,1.0,0
10487,8,1400000.0,104,449,1,2010.0,2011.0,2011,1.0,1.0,0.0,1
10489,219,4800000.0,131,569,2,2008.0,2008.0,2010,0.0,2.0,2.0,1
10495,29,8000000.0,131,398,1,0.0,2009.0,2009,0.0,0.0,0.0,1
10524,29,6535000.0,66,296,2,0.0,2006.0,2008,0.0,0.0,2.0,0
10531,64,18885799.0,131,570,2,1999.0,2000.0,2002,1.0,3.0,2.0,1
10535,289,30000000.0,131,166,1,0.0,2006.0,2006,0.0,0.0,0.0,0
10550,309,5300000.0,131,569,1,2009.0,2006.0,2006,-3.0,-3.0,0.0,1
10565,364,11500000.0,131,530,3,2004.0,2008.0,2009,4.0,5.0,1.0,1
10573,210,10000.0,131,569,1,2012.0,2012.0,2012,0.0,0.0,0.0,0
10579,79,4715000.0,131,569,3,2010.0,2010.0,2011,0.0,1.0,1.0,1
10591,284,33000000.0,131,398,2,2005.0,2007.0,2008,2.0,3.0,1.0,0
10610,49,650000.0,140,52,1,2008.0,2011.0,2011,3.0,3.0,0.0,1
10622,179,300000.0,131,486,1,2008.0,2010.0,2010,2.0,2.0,0.0,0
10631,29,1526000.0,123,189,1,0.0,2010.0,2010,0.0,0.0,0.0,0
10635,1,1500000.0,104,449,1,2004.0,2007.0,2007,3.0,3.0,0.0,1
10639,371,0.0,79,362,1,2011.0,2011.0,2011,0.0,0.0,0.0,0
10668,309,13000000.0,159,249,1,0.0,2011.0,2011,0.0,0.0,0.0,1
10669,309,100000000.0,159,249,1,0.0,2005.0,2005,0.0,0.0,0.0,1
10670,363,15000000.0,131,569,1,2005.0,2005.0,2005,0.0,0.0,0.0,0
10704,210,200000.0,79,362,1,2012.0,2012.0,2012,0.0,0.0,0.0,0
10708,146,32676154.0,131,242,4,2008.0,2009.0,2013,1.0,5.0,4.0,0
10731,102,100000.0,161,697,1,2013.0,2013.0,2013,0.0,0.0,0.0,0
10742,159,13210580.0,79,362,7,2003.0,2009.0,2011,6.0,8.0,2.0,0
10749,115,22500000.0,104,449,1,0.0,2006.0,2006,0.0,0.0,0.0,0
10753,115,0.0,131,569,2,0.0,1997.0,1998,0.0,0.0,1.0,1
10775,29,72502924.0,137,567,4,0.0,2007.0,2013,0.0,0.0,6.0,0
10784,363,6623651.0,135,561,3,2004.0,2005.0,2011,1.0,7.0,6.0,1
10792,289,77000000.0,111,83,2,1999.0,2005.0,2011,6.0,12.0,6.0,1
10804,63,170000.0,159,391,1,2006.0,2009.0,2009,3.0,3.0,0.0,0
10805,363,150600000.0,61,288,2,2000.0,2009.0,2014,9.0,14.0,5.0,1
10810,29,965000.0,131,569,1,2012.0,2013.0,2013,1.0,1.0,0.0,0
10812,29,28520510.0,120,330,7,0.0,2009.0,2013,0.0,0.0,4.0,0
10830,184,22304410.0,59,663,5,2008.0,2010.0,2014,2.0,6.0,4.0,1
10848,137,7500000.0,131,573,2,2006.0,2006.0,2007,0.0,1.0,1.0,0
10852,25,45000.0,116,493,2,2011.0,2011.0,2012,0.0,1.0,1.0,0
10855,137,350000.0,131,56,1,0.0,2006.0,2006,0.0,0.0,0.0,0
10861,1,37500000.0,11,38,2,2008.0,2011.0,2013,3.0,5.0,2.0,1
10881,102,283500.0,7,20,2,0.0,2012.0,2013,0.0,0.0,1.0,0
10883,249,7015000.0,131,569,3,2009.0,2009.0,2011,0.0,2.0,2.0,1
10885,129,540000.0,104,449,2,2007.0,2008.0,2009,1.0,2.0,1.0,1
10896,79,5000000.0,79,362,1,2006.0,2007.0,2007,1.0,1.0,0.0,1
10923,121,0.0,131,569,1,0.0,2010.0,2010,0.0,0.0,0.0,1
10927,301,4500000.0,131,569,2,2007.0,2007.0,2008,0.0,1.0,1.0,0
10938,309,118300000.0,131,486,5,1999.0,2000.0,2006,1.0,7.0,6.0,1
10939,300,355000.0,79,362,2,2009.0,2009.0,2009,0.0,0.0,0.0,0
10943,47,42700000.0,40,104,3,2001.0,2008.0,2011,7.0,10.0,3.0,0
10947,219,3000000.0,131,569,1,2006.0,2007.0,2007,1.0,1.0,0.0,1
10955,29,7397000.0,123,522,2,0.0,2009.0,2014,0.0,0.0,5.0,0
10957,102,7300000.0,131,569,2,2013.0,2013.0,2014,0.0,1.0,1.0,0
10974,199,65000000.0,146,624,3,0.0,2006.0,2008,0.0,0.0,2.0,1
10990,210,3859459.0,140,593,2,2006.0,2009.0,2010,3.0,4.0,1.0,1
10991,79,2000000.0,131,486,1,0.0,2009.0,2009,0.0,0.0,0.0,1
11000,309,5000000.0,6,291,1,0.0,2010.0,2010,0.0,0.0,0.0,1
11010,291,4920000.0,132,404,2,0.0,2000.0,2001,0.0,0.0,1.0,1
11017,25,518000.0,17,74,2,2012.0,2012.0,2013,0.0,1.0,1.0,0
11022,181,12500000.0,61,288,2,1998.0,2005.0,2007,7.0,9.0,2.0,1
11043,363,57100000.0,6,10,3,2003.0,2005.0,2008,2.0,5.0,3.0,1
11063,8,1700000.0,131,569,1,2013.0,2013.0,2013,0.0,0.0,0.0,1
11074,309,100000.0,23,40,1,2006.0,2009.0,2009,3.0,3.0,0.0,0
11093,301,100000.0,51,690,1,2011.0,2011.0,2011,0.0,0.0,0.0,0
11100,115,959197.0,38,266,1,0.0,2010.0,2010,0.0,0.0,0.0,1
11127,266,12300000.0,104,449,2,2006.0,2007.0,2009,1.0,3.0,2.0,1
11137,102,150000.0,131,569,1,2011.0,2011.0,2011,0.0,0.0,0.0,0
11173,102,1200000.0,131,569,1,2011.0,2012.0,2012,1.0,1.0,0.0,0
11177,161,868000.0,131,569,3,2011.0,2011.0,2012,0.0,1.0,1.0,0
11179,309,0.0,79,583,1,2010.0,2010.0,2010,0.0,0.0,0.0,0
11188,99,157866382.0,32,145,1,1999.0,2009.0,2009,10.0,10.0,0.0,1
11189,1,5000000.0,94,95,2,1998.0,2010.0,2011,12.0,13.0,1.0,1
11197,233,300000.0,105,215,1,2008.0,2009.0,2009,1.0,1.0,0.0,0
11199,102,0.0,6,299,1,2010.0,2010.0,2010,0.0,0.0,0.0,1
11215,309,0.0,30,139,1,2010.0,2011.0,2011,1.0,1.0,0.0,0
11216,126,1584593.0,59,271,2,0.0,2007.0,2009,0.0,0.0,2.0,1
11226,64,16500000.0,140,593,3,2011.0,2010.0,2013,-1.0,2.0,3.0,1
11283,47,3500000.0,17,383,1,0.0,2008.0,2008,0.0,0.0,0.0,1
11291,286,9500000.0,131,53,1,2012.0,2013.0,2013,1.0,1.0,0.0,1
11292,123,690000.0,31,141,1,2010.0,2011.0,2011,1.0,1.0,0.0,0
11298,210,10600000.0,159,534,2,2003.0,2005.0,2007,2.0,4.0,2.0,0
11323,301,0.0,131,573,1,2003.0,2005.0,2005,2.0,2.0,0.0,1
11340,292,1500000.0,131,569,1,2006.0,2007.0,2007,1.0,1.0,0.0,0
11355,115,2000019.0,159,278,1,1983.0,2009.0,2009,26.0,26.0,0.0,1
11356,79,0.0,9,34,1,0.0,2008.0,2008,0.0,0.0,0.0,0
11358,137,11567800.0,140,593,3,2006.0,2006.0,2009,0.0,3.0,3.0,1
11368,309,10119801.0,131,569,3,2003.0,2010.0,2011,7.0,8.0,1.0,1
11372,309,6000000.0,131,565,1,1999.0,2007.0,2007,8.0,8.0,0.0,1
11374,282,8500000.0,104,449,3,2008.0,2008.0,2010,0.0,2.0,2.0,1
11390,17,3100000.0,131,486,2,2011.0,2013.0,2013,2.0,2.0,0.0,0
11425,309,12700000.0,104,449,2,2005.0,2008.0,2010,3.0,5.0,2.0,1
11448,309,432299.0,140,593,1,2007.0,2009.0,2009,2.0,2.0,0.0,1
11450,163,16800000.0,59,620,2,1998.0,2009.0,2012,11.0,14.0,3.0,1
11451,309,200000.0,59,620,1,1999.0,2005.0,2005,6.0,6.0,0.0,1
11469,81,5700000.0,131,569,2,2009.0,2010.0,2011,1.0,2.0,1.0,1
11478,363,26249976.0,17,132,5,2006.0,2007.0,2011,1.0,5.0,4.0,1
11485,284,2000000.0,131,398,2,2011.0,2011.0,2013,0.0,2.0,2.0,1
11506,204,151500204.0,92,503,1,0.0,2010.0,2010,0.0,0.0,0.0,1
11512,210,25000.0,118,499,1,2010.0,2010.0,2010,0.0,0.0,0.0,0
11515,284,2600000.0,131,398,1,2008.0,2008.0,2008,0.0,0.0,0.0,0
11518,126,515000.0,38,76,2,0.0,2008.0,2008,0.0,0.0,0.0,0
11529,236,122500000.0,140,75,5,2000.0,2005.0,2008,5.0,8.0,3.0,1
11543,79,4750000.0,104,449,1,0.0,2007.0,2007,0.0,0.0,0.0,0
11544,102,5600000.0,36,167,2,0.0,2010.0,2011,0.0,0.0,1.0,0
11550,350,8250000.0,131,624,2,2007.0,2011.0,2012,4.0,5.0,1.0,1
11567,29,0.0,106,32,1,1983.0,2004.0,2004,21.0,21.0,0.0,1
11582,59,43019869.0,131,570,2,0.0,2012.0,2013,0.0,0.0,1.0,1
11610,205,20000.0,122,517,1,2010.0,2010.0,2010,0.0,0.0,0.0,0
11613,102,450000.0,104,449,1,2010.0,2011.0,2011,1.0,1.0,0.0,0
11636,9,18533749.0,11,38,5,2006.0,2007.0,2012,1.0,6.0,5.0,1
11641,226,45000000.0,104,449,4,2004.0,2005.0,2011,1.0,7.0,6.0,1
11654,79,2000000.0,104,449,1,0.0,2008.0,2008,0.0,0.0,0.0,0
11663,264,10000000.0,17,95,2,2000.0,2005.0,2008,5.0,8.0,3.0,0
11677,309,1020000.0,79,142,1,0.0,2009.0,2009,0.0,0.0,0.0,0
11679,90,58500000.0,47,509,3,0.0,2012.0,2012,0.0,0.0,0.0,0
11684,309,5000000.0,131,573,2,2000.0,2007.0,2008,7.0,8.0,1.0,1
11703,95,3100000.0,51,284,1,1999.0,1996.0,1996,-3.0,-3.0,0.0,1
11713,20,4775579.0,6,452,4,2002.0,2006.0,2010,4.0,8.0,4.0,0
11716,181,20000000.0,17,79,2,2006.0,2006.0,2008,0.0,2.0,2.0,1
11717,241,0.0,93,417,1,1994.0,1999.0,1999,5.0,5.0,0.0,1
11724,79,3216277.0,116,708,1,0.0,2009.0,2009,0.0,0.0,0.0,1
11729,309,1700000.0,79,639,1,0.0,2008.0,2008,0.0,0.0,0.0,0
11742,346,38251364.0,123,189,6,2006.0,2006.0,2014,0.0,8.0,8.0,1
11762,1,2000000.0,122,517,2,2008.0,2009.0,2010,1.0,2.0,1.0,1
11764,286,10500000.0,17,236,1,2002.0,2007.0,2007,5.0,5.0,0.0,1
11765,210,99670000.0,99,492,8,2001.0,2003.0,2010,2.0,9.0,7.0,0
11769,79,8400000.0,17,366,2,2006.0,2007.0,2008,1.0,2.0,1.0,1
11779,210,552000.0,131,569,1,2012.0,2012.0,2012,0.0,0.0,0.0,0
11821,284,26000000.0,46,395,1,1998.0,1999.0,1999,1.0,1.0,0.0,1
11825,1,2000000.0,119,512,1,2009.0,2010.0,2010,1.0,1.0,0.0,0
11827,305,500000.0,78,279,1,2009.0,2010.0,2010,1.0,1.0,0.0,0
11833,63,7715715.0,135,350,2,0.0,2005.0,2010,0.0,0.0,5.0,1
11834,117,1717000.0,17,74,2,2012.0,2012.0,2014,0.0,2.0,2.0,1
11862,65,15000000.0,140,593,1,0.0,2012.0,2012,0.0,0.0,0.0,0
11875,208,983000.0,104,449,3,2011.0,2011.0,2014,0.0,3.0,3.0,1
11893,115,1300000.0,131,569,1,2012.0,2013.0,2013,1.0,1.0,0.0,1
11901,148,18885.0,162,698,1,2011.0,2012.0,2012,1.0,1.0,0.0,0
11902,79,775000.0,104,449,1,2010.0,2010.0,2010,0.0,0.0,0.0,1
11909,5,11800000.0,144,617,1,1999.0,2009.0,2009,10.0,10.0,0.0,1
11913,300,300000.0,79,362,2,2010.0,2010.0,2011,0.0,1.0,1.0,0
11917,309,25000000.0,104,449,3,2010.0,2010.0,2013,0.0,3.0,3.0,1
11934,309,35000000.0,137,567,4,1999.0,2000.0,2005,1.0,6.0,5.0,1
11963,137,2000000.0,131,564,2,2009.0,2009.0,2010,0.0,1.0,1.0,1
11978,47,12000000.0,105,516,1,2008.0,2010.0,2010,2.0,2.0,0.0,0
12014,79,4000000.0,79,583,2,2007.0,2007.0,2008,0.0,1.0,1.0,1
12037,309,100000.0,6,299,1,2007.0,2007.0,2007,0.0,0.0,0.0,0
12043,79,1300000.0,131,569,1,2007.0,2008.0,2008,1.0,1.0,0.0,1
12056,305,1000000.0,131,569,1,2004.0,2006.0,2006,2.0,2.0,0.0,1
12072,224,0.0,68,314,1,2005.0,2008.0,2008,3.0,3.0,0.0,0
12108,79,985136.0,104,449,1,2011.0,2011.0,2011,0.0,0.0,0.0,0
12128,79,1270000.0,104,449,1,2009.0,2010.0,2010,1.0,1.0,0.0,1
12136,39,5750000.0,131,486,3,2005.0,2007.0,2010,2.0,5.0,3.0,1
12142,137,11000000.0,131,569,1,0.0,2007.0,2007,0.0,0.0,0.0,0
12148,79,950000.0,102,218,2,0.0,2008.0,2010,0.0,0.0,2.0,0
12149,102,250000.0,34,185,1,2010.0,2010.0,2010,0.0,0.0,0.0,0
12152,126,0.0,125,536,1,0.0,2011.0,2011,0.0,0.0,0.0,0
12164,134,3762066.0,131,569,3,2007.0,2007.0,2010,0.0,3.0,3.0,0
12165,309,28679147.0,131,569,4,2008.0,2010.0,2014,2.0,6.0,4.0,1
12167,108,250000.0,101,372,1,2010.0,2010.0,2010,0.0,0.0,0.0,0
12178,208,500000.0,127,540,1,2006.0,2006.0,2006,0.0,0.0,0.0,1
12219,79,30000.0,54,711,1,2010.0,2011.0,2011,1.0,1.0,0.0,0
12225,49,11800159.0,140,52,3,2007.0,2009.0,2011,2.0,4.0,2.0,1
12235,154,5600000.0,6,299,1,0.0,2011.0,2011,0.0,0.0,0.0,0
12242,332,2100000.0,17,99,3,2009.0,2010.0,2013,1.0,4.0,3.0,1
12249,122,3052000.0,104,449,2,2010.0,2010.0,2012,0.0,2.0,2.0,1
12267,351,11491490.0,104,449,4,2009.0,2011.0,2013,2.0,4.0,2.0,1
12275,145,500000.0,131,624,1,2004.0,2005.0,2005,1.0,1.0,0.0,1
12305,146,350000.0,131,570,1,2009.0,2009.0,2009,0.0,0.0,0.0,0
12307,309,20000.0,79,362,1,2013.0,2013.0,2013,0.0,0.0,0.0,0
12318,115,0.0,111,305,1,0.0,2011.0,2011,0.0,0.0,0.0,1
12323,171,300000.0,123,522,1,2007.0,2007.0,2007,0.0,0.0,0.0,0
12374,109,9950000.0,104,89,3,2007.0,2007.0,2010,0.0,3.0,3.0,0
12376,346,47800000.0,131,569,4,2009.0,2009.0,2013,0.0,4.0,4.0,1
12381,309,3500000.0,131,398,1,0.0,2006.0,2006,0.0,0.0,0.0,1
12392,102,63000000.0,140,52,1,1997.0,2001.0,2001,4.0,4.0,0.0,1
12418,325,67000000.0,79,362,3,1999.0,2009.0,2013,10.0,14.0,4.0,0
12428,210,7516703.0,159,659,4,2008.0,2008.0,2012,0.0,4.0,4.0,0
12431,309,7000000.0,20,72,1,2000.0,2005.0,2005,5.0,5.0,0.0,1
12447,309,170000.0,18,7,1,2013.0,2014.0,2014,1.0,1.0,0.0,0
12454,289,12000000.0,131,624,1,2000.0,2008.0,2008,8.0,8.0,0.0,1
12467,247,70000000.0,59,82,1,2009.0,2013.0,2013,4.0,4.0,0.0,1
12486,198,14600000.0,131,624,1,2004.0,2011.0,2011,7.0,7.0,0.0,1
12491,47,905000.0,139,586,1,2009.0,2010.0,2010,1.0,1.0,0.0,0
12496,146,250000.0,30,139,1,2012.0,2012.0,2012,0.0,0.0,0.0,0
12522,52,16300000.0,17,95,2,2008.0,2011.0,2011,3.0,3.0,0.0,1
12526,63,4200000.0,17,22,1,2055.0,2010.0,2010,-45.0,-45.0,0.0,0
12539,309,21900000.0,17,666,3,2005.0,2007.0,2011,2.0,6.0,4.0,1
12546,372,14078664.0,131,486,3,2007.0,2007.0,2011,0.0,4.0,4.0,0
12550,145,52800000.0,17,99,2,1997.0,1998.0,2000,1.0,3.0,2.0,1
12582,47,0.0,131,580,1,2008.0,2010.0,2010,2.0,2.0,0.0,0
12641,169,0.0,131,56,1,2006.0,2007.0,2007,1.0,1.0,0.0,1
12647,362,0.0,22,367,1,2012.0,2012.0,2012,0.0,0.0,0.0,1
12652,76,25000.0,101,84,1,2012.0,2012.0,2012,0.0,0.0,0.0,0
12677,309,1000000.0,104,449,1,2002.0,2007.0,2007,5.0,5.0,0.0,1
12708,154,0.0,154,127,1,0.0,2002.0,2002,0.0,0.0,0.0,1
12709,20,2400000.0,32,145,1,2011.0,2013.0,2013,2.0,2.0,0.0,1
12724,102,23000000.0,104,554,2,2004.0,2006.0,2008,2.0,4.0,2.0,0
12731,303,650000.0,79,362,1,0.0,2008.0,2008,0.0,0.0,0.0,0
12757,219,30300000.0,131,569,4,1999.0,2006.0,2011,7.0,12.0,5.0,0
12764,20,200000.0,66,21,1,0.0,2013.0,2013,0.0,0.0,0.0,0
12774,47,13700000.0,131,242,1,2007.0,2010.0,2010,3.0,3.0,0.0,1
12776,250,250000.0,79,203,1,2012.0,2012.0,2012,0.0,0.0,0.0,1
12781,363,35985886.0,131,504,5,2000.0,2006.0,2010,6.0,10.0,4.0,1
12783,181,8500000.0,131,486,2,2005.0,2005.0,2007,0.0,2.0,2.0,1
12788,146,310000.0,136,70,1,2011.0,2012.0,2012,1.0,1.0,0.0,0
12811,21,2200000.0,88,540,1,2000.0,2009.0,2009,9.0,9.0,0.0,0
12812,47,71400000.0,137,567,4,2008.0,2010.0,2013,2.0,5.0,3.0,1
12832,198,7000000.0,131,468,1,2008.0,2014.0,2014,6.0,6.0,0.0,0
12862,47,10089048.0,74,335,1,0.0,2010.0,2010,0.0,0.0,0.0,0
12863,47,130300000.0,131,569,4,1999.0,2009.0,2012,10.0,13.0,3.0,0
12917,126,14000000.0,59,464,2,1995.0,2010.0,2010,15.0,15.0,0.0,0
12921,69,74000000.0,79,583,5,2006.0,2006.0,2013,0.0,7.0,7.0,1
12924,202,6500000.0,131,486,2,2005.0,2006.0,2007,1.0,2.0,1.0,0
12927,8,12700000.0,131,573,2,2010.0,2010.0,2013,0.0,3.0,3.0,1
12953,79,0.0,104,89,1,0.0,2012.0,2012,0.0,0.0,0.0,0
12962,309,5067737.0,11,38,2,1988.0,2011.0,2012,23.0,24.0,1.0,0
12988,105,1700000.0,117,123,2,0.0,2008.0,2009,0.0,0.0,1.0,1
13020,305,2097100.0,17,74,3,0.0,2010.0,2011,0.0,0.0,1.0,0
13037,47,150000.0,118,110,1,2012.0,2012.0,2012,0.0,0.0,0.0,0
13040,1,6000000.0,131,624,1,2002.0,2006.0,2006,4.0,4.0,0.0,1
13072,102,3000000.0,78,290,2,2011.0,2013.0,2013,2.0,2.0,0.0,0
13073,115,8864292.0,36,167,2,1994.0,2008.0,2010,14.0,16.0,2.0,1
13103,145,49600000.0,164,710,2,1980.0,2007.0,2008,27.0,28.0,1.0,1
13112,47,40000000.0,159,249,2,2000.0,2006.0,2008,6.0,8.0,2.0,1
13122,146,44000000.0,140,75,2,1995.0,2005.0,2006,10.0,11.0,1.0,1
13128,137,40000.0,79,362,1,2010.0,2011.0,2011,1.0,1.0,0.0,0
13134,309,5500000.0,105,601,1,2007.0,2008.0,2008,1.0,1.0,0.0,0
13139,115,3400000.0,131,398,1,2010.0,2010.0,2010,0.0,0.0,0.0,1
13147,145,425130.0,131,363,2,0.0,2008.0,2009,0.0,0.0,1.0,1
13148,115,14600000.0,131,569,2,2007.0,2007.0,2008,0.0,1.0,1.0,0
