,market,funding_total_usd,region,city,funding_rounds,Founding_year,first_funding_year,last_funding_year,first_funding_gap,last_funding_gap,first_last_funding_gap,success
971,115,24845955.0,28,127,6,2007.0,2009.0,2013,2.0,6.0,4.0,1
972,264,6500000.0,36,112,2,0.0,2009.0,2011,0.0,0.0,2.0,1
975,309,2400000.0,30,349,1,1998.0,2014.0,2014,16.0,16.0,0.0,1
985,266,40400000.0,131,569,4,2003.0,2004.0,2012,1.0,9.0,8.0,1
986,1,100000.0,123,522,1,2012.0,2012.0,2012,0.0,0.0,0.0,0
993,1,119191000.0,131,233,7,2004.0,2005.0,2011,1.0,7.0,6.0,1
996,164,0.0,17,386,1,0.0,2014.0,2014,0.0,0.0,0.0,1
997,117,114000000.0,79,583,3,2005.0,2007.0,2011,2.0,6.0,4.0,1
1022,63,5000000.0,36,300,1,1996.0,2007.0,2007,11.0,11.0,0.0,1
1025,283,3100000.0,138,111,1,2003.0,2006.0,2006,3.0,3.0,0.0,1
1035,115,1015000.0,131,573,2,2011.0,2012.0,2012,1.0,1.0,0.0,1
1036,289,5800000.0,137,567,1,0.0,2014.0,2014,0.0,0.0,0.0,0
1041,1,2000000.0,131,101,1,2010.0,2011.0,2011,1.0,1.0,0.0,0
1047,148,2500190.0,116,231,1,0.0,2011.0,2011,0.0,0.0,0.0,0
1052,1,5300000.0,131,486,2,2008.0,2008.0,2009,0.0,1.0,1.0,0
1053,1,470000.0,131,569,2,2010.0,2010.0,2011,0.0,1.0,1.0,1
1055,148,300000.0,9,490,1,2011.0,2012.0,2012,1.0,1.0,0.0,0
1064,29,23000000.0,131,530,1,1997.0,2005.0,2005,8.0,8.0,0.0,1
1069,1,27000000.0,131,564,2,2006.0,2006.0,2007,0.0,1.0,1.0,1
1072,189,100000.0,131,569,2,2009.0,2011.0,2011,2.0,2.0,0.0,1
1080,1,1550000.0,79,705,2,0.0,2008.0,2009,0.0,0.0,1.0,1
1090,309,1540000.0,131,569,3,2010.0,2010.0,2011,0.0,1.0,1.0,1
1097,29,41500000.0,105,523,2,0.0,2013.0,2014,0.0,0.0,1.0,0
1105,17,30000000.0,104,449,3,2007.0,2008.0,2010,1.0,3.0,2.0,1
1121,1,46800000.0,131,432,4,2006.0,2006.0,2009,0.0,3.0,3.0,1
1123,1,5000000.0,131,573,1,2011.0,2012.0,2012,1.0,1.0,0.0,1
1127,1,0.0,131,486,1,2008.0,2008.0,2008,0.0,0.0,0.0,0
1128,29,42500000.0,17,666,2,2002.0,2006.0,2007,4.0,5.0,1.0,1
1131,98,29125000.0,11,38,4,2005.0,2007.0,2012,2.0,7.0,5.0,1
1135,208,22000000.0,131,166,2,1999.0,1999.0,2007,0.0,8.0,8.0,1
1139,299,56464869.0,140,593,5,2009.0,2010.0,2013,1.0,4.0,3.0,1
1143,346,1230000.0,104,449,2,2007.0,2007.0,2008,0.0,1.0,1.0,1
1153,1,17807000.0,140,593,4,2006.0,2007.0,2012,1.0,6.0,5.0,1
1163,309,20000000.0,140,52,1,2007.0,2011.0,2011,4.0,4.0,0.0,1
1179,1,0.0,131,569,2,2011.0,2011.0,2012,0.0,1.0,1.0,1
1195,1,1300000.0,104,449,1,2008.0,2009.0,2009,1.0,1.0,0.0,1
1197,1,100000.0,131,570,1,2007.0,2007.0,2007,0.0,0.0,0.0,1
1199,46,25500000.0,131,569,3,2008.0,2008.0,2012,0.0,4.0,4.0,1
1202,284,100000.0,104,449,1,2013.0,2004.0,2004,-9.0,-9.0,0.0,0
1211,29,33500000.0,59,691,2,2003.0,2005.0,2007,2.0,4.0,2.0,1
1216,29,12300000.0,6,324,2,2007.0,2010.0,2014,3.0,7.0,4.0,0
1239,145,5455180.0,123,429,6,0.0,2009.0,2013,0.0,0.0,4.0,1
1241,1,500000.0,59,620,1,2007.0,2007.0,2007,0.0,0.0,0.0,0
1248,10,0.0,116,673,1,1998.0,2008.0,2008,10.0,10.0,0.0,1
1258,47,13000000.0,131,242,1,2009.0,2008.0,2008,-1.0,-1.0,0.0,0
1276,29,50537423.0,105,516,6,0.0,2009.0,2013,0.0,0.0,4.0,0
1277,172,980000.0,131,624,1,0.0,2008.0,2008,0.0,0.0,0.0,0
1316,210,1000000.0,131,398,1,0.0,2009.0,2009,0.0,0.0,0.0,1
1321,282,22800000.0,140,593,3,2005.0,2007.0,2011,2.0,6.0,4.0,1
1327,1,1400000.0,131,486,2,2006.0,2007.0,2008,1.0,2.0,1.0,0
1331,2,650000.0,123,189,1,2009.0,2011.0,2011,2.0,2.0,0.0,0
1332,1,10250000.0,131,87,1,0.0,2007.0,2007,0.0,0.0,0.0,0
1345,289,7970000.0,131,432,1,2001.0,2006.0,2006,5.0,5.0,0.0,1
1367,29,1349360.0,32,145,1,0.0,2014.0,2014,0.0,0.0,0.0,0
1373,368,28000000.0,131,530,2,1999.0,2008.0,2010,9.0,11.0,2.0,1
1376,29,120500000.0,22,367,5,2004.0,2007.0,2011,3.0,7.0,4.0,0
1412,79,0.0,131,569,1,0.0,2006.0,2006,0.0,0.0,0.0,1
1420,146,63800000.0,11,38,4,2000.0,2010.0,2013,10.0,13.0,3.0,1
1465,137,27500000.0,131,580,1,2002.0,2005.0,2005,3.0,3.0,0.0,1
1467,29,0.0,17,60,1,2000.0,1998.0,1998,-2.0,-2.0,0.0,1
1472,309,1171300.0,17,74,1,2000.0,2011.0,2011,11.0,11.0,0.0,1
1497,1,74311925.0,131,573,8,2006.0,2005.0,2013,-1.0,7.0,8.0,1
1499,301,50000.0,13,152,1,2012.0,2012.0,2012,0.0,0.0,0.0,0
1530,309,10925000.0,38,359,2,1997.0,2009.0,2011,12.0,14.0,2.0,0
1533,115,2000000.0,131,504,1,2005.0,2005.0,2005,0.0,0.0,0.0,1
